"","Coyote","Age","Farm","Educ","Land","Parent","Sibling","Prevalence","Child_con","First","Exper","Appreh","Prior","Pre_Coy","Linewatch","RIO_GRANDE","BIG_BEND","DEL_RIO","Arizona","California","Texas","Cross_Year","Survey_Year","MMP_id","Community","Weight","communityType","era","propertyOwn","rural","CoyNo","Last_Coy","San_Deigo","Tucson","Safeguard","Gatekeeper","Hold_The_Line","Operation_RG","PTD","noncoyoteMHC","coyoteMHC"
"68",1,32,0,1,0,0,0,0.0599520383693042,0,0,0.48,1.5,2,1,7.313631,0,0,0,1,0,0,2006,2016,70157,157,7.1111,"2",2,0,1,2,1,0,1,1,0,0,0,1,0,2
"69",1,40,1,9,1,0,3,0.166666666666667,1,0,0.48,0,1,1,6.46884,0,0,0,0,1,0,2005,2017,70162,162,4.7423,"0",2,1,0,1,1,1,0,0,1,0,0,1,0,1
"72",1,32,1,6,0,0,1,0.0465686274509803,0,0,1.2,0,3,1,6.46884,0,0,0,0,0,0,2005,2017,70168,168,14.1517,"2",2,0,1,3,1,0,0,0,0,0,0,1,0,3
"74",1,46,1,0,1,0,0,0.41773064250412,2,0,0.32,4,4,1,4.073542,0,0,0,0,1,0,1996,1996,80045,45,1,"0",2,1,0,4,1,1,0,0,1,0,0,1,0,4
"75",0,33,0,3,0,0,0,0.335731384494573,0,0,0.12,0,1,0,4.914131,0,1,0,0,0,1,1999,1999,80075,75,2,"0",2,1,0,0,0,0,0,0,0,1,0,1,1,0
"76",1,26,0,6,0,0,0,0.1440329218107,0,0,0.04,0,1,0,4.914131,0,1,0,0,0,1,1999,2000,80081,81,1,"0",2,1,0,0,0,0,0,0,0,1,0,1,1,0
"77",1,35,1,3,0,0,0,0.263374485596708,0,0,1.2,0,1,1,5.400013,1,0,0,0,0,1,2000,2003,80099,99,1.24,"0",2,0,0,1,1,0,0,0,0,0,1,1,0,1
"78",1,55,1,0,0,0,0,0.215633423180593,2,0,0.24,0,2,1,4.705896,0,0,0,0,1,0,1998,2007,80117,117,2.9697,"0",2,1,0,1,1,1,0,0,1,0,0,1,1,1
"79",1,27,1,6,0,0,0,0.168241965973535,0,0,0.18,0,1,1,6.149998,0,0,0,1,0,0,2003,2008,80121,121,9.1917,"1",2,1,1,1,1,0,1,1,0,0,0,1,0,1
"80",1,44,1,3,0,0,0,0.180327868852458,1,0,0.12,0,1,1,5.789396,0,0,0,0,0,0,2002,2015,80151,151,4.7126,"2",2,0,1,1,1,0,0,0,0,0,0,1,0,1
"81",1,26,0,6,0,0,0,0.0483383685800603,0,0,0.12,0,1,1,6.149998,0,0,0,0,0,0,2003,2017,80166,166,5.6711,"1",2,0,1,1,1,0,0,0,0,0,0,1,0,1
"82",1,18,0,12,0,0,0,0.258928571428571,0,0,0,1,1,1,6.46884,1,0,0,0,0,1,2005,2018,80169,169,6.1901,"0",2,0,0,1,1,0,0,0,0,0,1,1,0,1
"83",1,29,1,6,0,0,6,0.270769230769232,0,0,0.08,0,1,1,3.073758,0,0,0,1,0,0,1994,1994,90039,39,3.31,"0",2,1,0,1,1,0,1,0,0,0,0,1,0,1
"84",1,38,0,3,0,1,1,0.373954202595048,1,0,0.87,0.272727272727273,11,1,4.073542,0,0,0,0,1,0,1996,1999,90072,72,6.74,"2",2,1,1,9,1,1,0,0,1,0,0,1,1,7
"85",1,36,1,6,0,0,0,0.242774566473989,0,0,0.24,0.5,2,1,4.705896,0,1,0,0,0,1,1998,2014,90146,146,4.9703,"0",2,0,0,2,1,0,0,0,0,1,0,1,0,2
"86",1,29,1,9,0,1,5,0.174641148325358,0,0,0.24,1,1,1,5.647751,1,0,0,0,0,1,2001,2015,90151,151,4.7126,"2",2,0,1,1,1,0,0,0,0,0,1,1,0,1
"88",1,33,1,9,0,0,2,0.0886075949367087,0,0,0.84,0,2,0,10.076554,0,0,0,1,0,0,2008,2016,90155,155,4.2273,"1",2,1,1,0,0,0,1,1,0,0,0,1,1,0
"90",1,49,0,8,0,0,0,0.0524934383202097,0,0,0.6,0,2,1,6.149998,0,0,0,0,1,0,2003,2016,90157,157,7.1111,"2",2,1,1,2,1,1,0,0,1,0,0,1,0,2
"93",1,30,0,12,0,0,0,0.0441860465116278,0,0,0.9,0,3,1,8.158986,0,0,0,0,1,0,2007,2017,90168,168,14.1517,"2",2,0,1,3,1,1,0,0,1,0,0,1,0,3
"94",1,31,1,6,1,0,0,0.230125523012553,0,0,0.36,1,1,1,6.46884,0,0,0,0,1,0,2005,2019,90171,171,4.4584,"0",2,0,0,1,1,1,0,0,1,0,0,1,0,1
"95",1,30,0,2,1,0,1,0.270769230769232,0,0,0.04,0,1,1,3.073758,1,0,0,0,0,1,1994,1994,100039,39,3.31,"0",2,1,0,1,1,0,0,0,0,0,0,1,0,1
"98",1,26,0,5,0,1,4,0.467163778767235,0,0,0.69,0.2,5,1,4.084013,0,0,0,1,0,0,1997,1997,100071,71,3.64,"0",2,0,0,5,1,0,1,1,0,0,0,1,0,5
"99",1,31,0,2,0,0,2,0.269058295964125,0,0,0.06,1,1,1,4.084013,0,0,0,0,1,0,1997,2003,100099,99,1.24,"0",2,1,0,1,1,1,0,0,1,0,0,1,0,1
"104",1,40,1,6,0,0,0,0.254355400696864,1,0,0.3,0.2,5,1,6.46884,0,0,0,1,0,0,2005,2006,100111,111,3.1603,"0",2,1,0,5,1,0,1,1,0,0,0,1,0,5
"108",1,47,1,3,1,0,1,0.122549019607843,0,0,2.04,1.33333333333333,9,1,5.400013,0,0,0,0,0,0,2000,2009,100127,127,8.6953,"1",2,1,0,9,1,0,0,0,0,0,0,1,0,7
"111",1,23,0,9,0,0,0,0.175895765472314,0,0,0.36,0,3,1,4.914131,0,0,0,1,0,0,1999,2012,100136,136,2.4453,"1",2,0,0,3,1,0,1,1,0,0,0,1,0,3
"113",1,31,0,9,0,0,2,0.201005025125628,0,0,0.6,0,2,1,6.254962,0,0,1,0,0,1,2004,2017,100164,164,5.8058,"1",2,1,1,2,1,0,0,0,0,0,0,1,0,2
"114",1,24,1,8,1,0,1,0.21900826446281,0,0,0.3,0,1,1,6.149998,0,0,0,0,1,0,2003,2019,100173,173,4.9085,"0",2,0,0,1,1,1,0,0,1,0,0,1,0,1
"115",0,43,0,0,0,0,1,0.188470066518848,4,0,0.79,1,8,0,4.084013,0,0,0,1,0,0,1997,2001,110088,88,8.7,"2",2,1,1,0,0,0,1,1,0,0,0,1,1,0
"116",1,32,1,6,0,0,4,0.0749999999999998,0,0,0.08,0,1,1,3.397049,0,0,0,0,1,0,1995,2003,110105,105,4.72,"0",2,1,0,1,1,1,0,0,1,0,0,1,0,1
"117",1,55,1,5,0,0,0,0.169398907103825,0,0,0.16,0,2,1,6.254962,0,0,0,0,0,0,2004,2008,110121,121,9.1917,"1",2,1,1,2,1,0,0,0,0,0,0,1,0,2
"118",1,27,1,9,1,0,1,0.198270152892529,0,0,0.72,1,1,1,11.55508,0,1,0,0,0,1,2009,2009,110126,126,13.2265,"2",2,1,1,1,1,0,0,0,0,1,0,1,0,1
"119",1,29,0,9,0,0,1,0.134782608695652,0,0,0.96,1,1,1,6.149998,0,0,0,1,0,0,2003,2009,110127,127,8.6953,"1",2,1,0,1,1,0,1,1,0,0,0,1,0,1
"121",1,36,1,9,0,0,0,0.200000000000001,0,0,0.14,0,2,1,6.254962,0,0,0,0,0,0,2004,2012,110136,136,2.4453,"0",2,0,0,2,1,0,0,0,0,0,0,1,0,2
"123",1,27,0,6,0,1,4,0.37592019547572,0,0,0.13,0.5,2,1,4.084013,0,0,0,1,0,0,1997,1999,120072,72,6.74,"2",2,0,1,2,1,0,1,1,0,0,0,1,0,2
"126",1,29,0,6,0,0,2,0.180000000000001,0,0,0.76,0.333333333333333,4,1,5.400013,0,0,0,1,0,0,2000,2001,120088,88,8.7,"2",2,1,1,3,1,0,1,1,0,0,0,1,1,3
"127",1,43,1,0,0,0,0,0.304660876251727,0,0,0.03,0,1,1,5.400013,1,0,0,0,0,1,2000,2001,120089,89,8.8,"2",2,1,1,1,1,0,0,0,0,0,1,1,0,1
"128",1,28,0,6,0,0,1,0.169398907103824,0,0,1.2,0,1,1,5.400013,0,0,0,0,0,0,2000,2012,120138,138,3.7623,"1",2,1,1,1,1,0,0,0,0,0,0,1,0,1
"129",1,35,1,6,0,0,0,0.0606860158311346,0,0,0.2,0,1,1,6.254962,0,0,0,0,1,0,2004,2016,120161,161,6.9363,"2",2,1,1,1,1,1,0,0,1,0,0,1,0,1
"130",1,28,1,9,0,0,0,0.148936170212766,0,0,0.36,0,1,1,4.914131,0,0,0,0,0,0,1999,2017,120162,162,4.7423,"0",2,1,0,1,1,0,0,0,0,0,0,1,0,1
"131",1,22,1,6,0,0,0,0.147239263803681,0,0,0.36,0,1,1,4.084013,0,0,0,1,0,0,1997,2017,120164,164,5.8058,"1",2,0,0,1,1,0,1,1,0,0,0,1,0,1
"132",1,22,1,7,0,0,2,0.260465116279069,0,0,0.54,2,2,1,6.149998,0,0,1,0,0,1,2003,2018,120169,169,6.1901,"0",2,1,0,1,1,0,0,0,0,0,0,1,1,1
"133",0,29,0,6,0,0,1,0.316042592064495,0,0,0,0,1,1,4.705896,0,0,1,0,0,1,1998,1999,130073,73,6.13,"2",2,0,1,1,1,0,0,0,0,0,0,1,0,1
"134",1,31,0,3,0,0,0,0.273509855916816,0,0,0.48,0.5,2,1,4.705896,0,0,0,1,0,0,1998,1999,130075,75,2,"0",2,1,0,1,1,0,1,1,0,0,0,1,1,1
"135",1,28,1,6,0,0,11,0.254355400696864,0,0,0.6,0,2,1,6.46884,0,0,0,1,0,0,2005,2006,130111,111,3.1603,"0",2,1,0,1,1,0,1,1,0,0,0,1,1,1
"136",1,50,0,2,0,0,0,0.0634920634920631,0,0,0.06,0,1,1,11.55508,0,0,0,0,1,0,2009,2016,130157,157,7.1111,"2",2,0,1,1,1,1,0,0,1,0,0,1,0,1
"138",1,32,1,6,0,1,1,0.244094488188976,0,0,0.48,0.5,2,1,11.55508,1,0,0,0,0,1,2009,2018,130169,169,6.1901,"0",2,1,0,2,1,0,0,0,0,0,1,1,0,2
"139",1,31,1,3,1,0,3,0.113372093023255,0,0,0.18,0,1,1,4.084013,0,0,0,0,1,0,1997,1997,140051,51,1.48,"1",2,1,1,1,1,1,0,0,1,0,0,1,0,1
"140",1,44,0,3,0,1,2,0.384380388977079,0,0,0.18,1.5,2,1,3.397049,0,0,0,1,0,0,1995,1997,140071,71,3.64,"0",2,1,0,2,1,0,1,0,0,0,0,1,0,2
"141",1,32,0,3,0,0,0,0.304033747329542,0,0,0.04,0,1,1,4.914131,1,0,0,0,0,1,1999,2001,140089,89,8.8,"2",2,1,1,1,1,0,0,0,0,0,1,1,0,1
"142",1,20,1,9,0,0,0,0.0403587443946188,0,0,0.24,0,1,1,4.073542,0,0,0,1,0,0,1996,2004,140102,102,4,"0",2,0,0,1,1,0,1,0,0,0,0,1,0,1
"146",1,39,0,6,0,0,2,0.468302681918552,0,0,1.44,0,4,1,7.313631,0,0,0,0,1,0,2006,2007,140120,120,3.9299,"0",2,1,0,4,1,1,0,0,1,0,0,1,0,4
"151",1,30,1,6,1,0,0,0.202416918429004,0,0,0.48,0.2,5,1,6.149998,0,0,0,1,0,0,2003,2012,140136,136,2.4453,"0",2,1,0,5,1,0,1,1,0,0,0,1,0,5
"152",1,32,1,9,0,0,0,0.201030927835052,0,0,0.12,0,1,1,6.149998,0,0,0,0,0,0,2003,2017,140164,164,5.8058,"1",2,1,1,1,1,0,0,0,0,0,0,1,0,1
"153",0,30,1,4,1,0,1,0.318930041152261,0,0,1.07,0,17,1,3.073758,0,1,0,0,0,1,1994,1994,150034,34,1.95,"0",2,1,0,6,0,0,0,0,0,1,0,1,1,6
"156",1,46,0,0,0,1,4,0.431271847716242,0,0,0.5,0.733333333333333,15,1,4.084013,1,0,0,0,0,1,1997,1998,150056,56,2.75,"0",2,1,0,14,1,0,0,0,0,0,1,1,1,7
"158",1,32,0,0,0,0,1,0.184946236559141,0,0,0.3,0.5,2,1,4.705896,0,0,0,1,0,0,1998,2001,150088,88,8.7,"2",2,0,1,2,1,0,1,1,0,0,0,1,0,2
"159",1,25,0,9,0,0,0,0.0723616256222676,0,0,0.72,1,2,1,4.705896,0,0,0,0,0,0,1998,2002,150094,94,5.29,"1",2,0,1,2,1,0,0,0,0,0,0,1,0,2
"162",1,43,0,6,0,0,8,0.232673267326733,0,0,0.84,0.5,4,1,5.647751,0,0,0,0,0,0,2001,2007,150117,117,2.9697,"0",2,1,0,4,1,0,0,0,0,0,0,1,0,4
"164",1,39,0,9,0,0,1,0.169398907103824,0,0,1.44,0,3,1,5.400013,0,0,0,0,1,0,2000,2012,150138,138,3.7623,"1",2,1,1,2,1,1,0,0,1,0,0,1,1,2
"165",0,31,1,4,0,0,3,0.264550264550265,0,0,0.12,0,1,0,5.647751,0,0,0,0,1,0,2001,2014,150146,146,4.9703,"0",2,0,0,0,0,1,0,0,1,0,0,1,1,0
"166",1,28,1,3,0,0,0,0.237288135593221,0,0,0.6,1,2,1,5.789396,0,0,0,0,1,0,2002,2019,150174,174,4.8239,"1",2,0,0,1,1,1,0,0,1,0,0,1,1,1
"168",1,44,0,3,0,0,2,0.170393225445861,2,0,1.08,0.2,5,1,4.073542,1,0,0,0,0,1,1996,1998,160057,57,5.18,"1",2,1,1,5,1,0,0,0,0,0,0,1,0,5
"169",1,43,1,0,0,0,0,0.119815668202765,0,0,0.06,2,1,0,3.397049,0,0,1,0,0,1,1995,2000,160081,81,1,"0",2,1,0,0,0,0,0,0,0,0,0,1,1,0
"171",1,27,0,9,1,0,4,0.0409556313993175,0,0,1.56,0,4,1,4.914131,0,0,0,1,0,0,1999,2002,160092,92,1.4,"0",2,1,0,3,1,0,1,1,0,0,0,1,1,3
"172",1,33,0,8,0,0,1,0.172113289760348,0,0,0.24,0,1,1,10.076554,0,0,0,0,1,0,2008,2012,160138,138,3.7623,"1",2,1,1,1,1,1,0,0,1,0,0,1,0,1
"174",1,22,0,5,0,1,0,0.17864476386037,0,0,0.48,0,2,1,8.158986,1,0,0,0,0,1,2007,2015,160151,151,4.7126,"2",2,0,1,1,0,0,0,0,0,0,1,1,1,1
"180",1,37,1,6,0,0,1,0.245098039215687,0,0,0.79,0,7,1,11.55508,0,0,0,0,0,0,2009,2019,160174,174,4.8239,"1",2,1,0,6,1,0,0,0,0,0,0,1,1,6
"181",1,25,0,10,0,0,0,0.0996563573883162,0,0,0.12,0,1,1,3.073758,0,0,0,0,1,0,1994,1997,170060,60,3.63,"0",2,1,0,1,1,1,0,0,1,0,0,1,0,1
"182",1,29,1,6,0,1,2,0.467163778767235,0,0,0.19,0.333333333333333,3,1,4.084013,0,0,0,1,0,0,1997,1997,170071,71,3.64,"0",2,0,0,3,1,0,1,1,0,0,0,1,0,3
"183",0,26,1,5,0,0,1,0.273509855916816,0,0,0.08,0,1,1,4.705896,0,0,1,0,0,1,1998,1999,180075,75,2,"0",2,1,0,1,1,0,0,0,0,0,0,1,0,1
"184",1,30,0,6,1,0,2,0.134529147982063,0,0,0.07,1,1,1,4.073542,0,0,0,1,0,0,1996,2000,180081,81,1,"0",2,1,0,1,1,0,1,0,0,0,0,1,0,1
"185",1,38,0,4,0,0,0,0.0924956369982554,0,0,0,1,1,1,4.914131,0,0,0,0,1,0,1999,2002,180093,93,5.6,"2",2,1,1,1,1,1,0,0,1,0,0,1,0,1
"186",1,41,1,2,1,0,0,0.169811320754717,0,0,0.06,0,1,1,5.400013,0,0,0,0,1,0,2000,2005,180108,108,1.023,"0",2,1,0,1,1,1,0,0,1,0,0,1,0,1
"187",1,28,1,9,1,0,2,0.23855421686747,0,0,0.24,0,1,1,5.789396,1,0,0,0,0,1,2002,2007,180117,117,2.9697,"0",2,1,0,1,1,0,0,0,0,0,1,1,0,1
"189",1,26,0,6,0,0,0,0.171355498721227,0,0,0.24,0,2,1,4.914131,0,0,0,0,1,0,1999,2015,180151,151,4.7126,"1",2,0,1,1,1,1,0,0,1,0,0,1,1,1
"190",1,28,1,6,0,0,0,0.148936170212766,0,0,0.12,0,1,1,4.914131,0,0,0,1,0,0,1999,2017,180162,162,4.7423,"0",2,0,0,1,1,0,1,1,0,0,0,1,0,1
"191",1,42,1,3,1,0,1,0.234449760765551,1,0,0.24,0,1,1,5.400013,0,0,0,0,1,0,2000,2019,180171,171,4.4584,"0",2,1,0,1,1,1,0,0,1,0,0,1,0,1
"192",0,35,1,6,1,0,3,0.318930041152261,0,0,0.71,0.181818181818182,12,1,3.073758,0,1,0,0,0,1,1994,1994,190034,34,1.95,"0",2,1,0,4,0,0,0,0,0,1,0,1,1,4
"193",1,26,0,9,0,0,0,0.190361445783133,0,0,0.09,0,1,1,3.397049,0,0,0,0,1,0,1995,2001,190088,88,8.7,"2",2,1,1,1,1,1,0,0,1,0,0,1,0,1
"195",1,33,1,9,0,0,0,0.0617848970251719,0,0,0.41,0,2,1,6.46884,0,0,0,1,0,0,2005,2007,190116,116,4.551,"1",2,1,0,2,1,0,1,1,0,0,0,1,0,2
"196",1,43,0,9,0,0,0,0.0396600566572239,0,0,0.48,0,1,1,6.46884,0,0,0,1,0,0,2005,2013,190142,142,3.1655,"1",2,1,0,1,1,0,1,1,0,0,0,1,0,1
"197",1,34,0,6,0,0,3,0.538987395855589,0,0,1.2,0,2,1,3.073758,1,0,0,0,0,1,1994,1994,200037,37,1,"0",2,1,0,2,1,0,0,0,0,0,0,1,0,2
"198",1,41,0,6,0,0,0,0.188470066518848,1,0,0.17,0,2,1,4.084013,0,0,0,1,0,0,1997,2001,200088,88,8.7,"2",2,1,1,2,1,0,1,1,0,0,0,1,0,2
"200",1,64,1,2,1,0,1,0.243697478991597,4,0,0.2,0.5,4,1,5.400013,0,0,0,0,0,0,2000,2006,200111,111,3.1603,"0",2,1,0,4,1,0,0,0,0,0,0,1,0,4
"201",1,36,1,13,1,0,2,0.0426136363636364,0,0,0.29,0,1,1,5.789396,0,0,0,1,0,0,2002,2009,200128,128,5.5861,"1",2,1,1,1,1,0,1,1,0,0,0,1,0,1
"204",1,26,0,9,0,0,0,0.206896551724139,0,0,0.36,0,3,1,6.46884,0,0,0,0,0,0,2005,2012,200136,136,2.4453,"0",2,1,0,3,1,0,0,0,0,0,0,1,0,3
"207",1,43,0,0,0,0,2,0.204761904761905,1,0,0.46,1,3,1,7.313631,0,0,0,0,1,0,2006,2017,200164,164,5.8058,"1",2,1,1,2,1,1,0,0,1,0,0,1,1,2
"208",1,25,1,10,0,0,1,0.0796460176991153,0,0,0.48,0,1,1,7.313631,0,0,0,1,0,0,2006,2017,200165,165,3.6169,"0",2,0,0,1,1,0,1,1,0,0,0,1,0,1
"209",1,23,0,7,0,0,0,0.147728818169455,0,0,0.04,1,1,1,5.400013,1,0,0,0,0,1,2000,2001,210087,87,9.2,"3",2,1,1,1,1,0,0,0,0,0,1,1,0,1
